lam,mode,clean,attack,combined
0.0,baseline,365559.688907,366703.9889444873,732263.6778514873
0.0,penalised,365559.688907,366703.9889444873,732263.6778514873
0.0,opportunistic,365559.688907,366703.9889444873,732263.6778514873
0.1,baseline,365559.688907,366703.9889444873,732263.6778514873
0.1,penalised,360543.76579365035,361770.2271982538,722313.9929919041
0.1,opportunistic,366586.22259756736,367727.35694283806,734313.5795404054
0.2,baseline,365559.688907,366703.9889444873,732263.6778514873
0.2,penalised,357014.0492978192,358320.6553351288,715334.7046329479
0.2,opportunistic,367719.62095333857,368853.3709337035,736572.9918870421
0.30000000000000004,baseline,365559.688907,366703.9889444873,732263.6778514873
0.30000000000000004,penalised,353950.63608184917,355337.2869626358,709287.923044485
0.30000000000000004,opportunistic,368955.7124042718,370084.00857457623,739039.720978848
0.4,baseline,365559.688907,366703.9889444873,732263.6778514873
0.4,penalised,351422.4238900222,352888.02641539555,704310.4503054178
0.4,opportunistic,370293.1040674342,371412.1018026109,741705.2058700451
0.5,baseline,365559.688907,366703.9889444873,732263.6778514873
0.5,penalised,349524.07637239946,351069.2536767005,700593.3300491
0.5,opportunistic,371705.5588862688,372817.2558809695,744522.8147672383
0.6000000000000001,baseline,365559.688907,366703.9889444873,732263.6778514873
0.6000000000000001,penalised,348137.6499736945,349763.1653373211,697900.8153110156
0.6000000000000001,opportunistic,373177.8066905745,374280.66933574347,747458.476026318
0.7000000000000001,baseline,365559.688907,366703.9889444873,732263.6778514873
0.7000000000000001,penalised,347123.5549948776,348810.2012489462,695933.7562438238
0.7000000000000001,opportunistic,374778.83842983615,375866.75708876114,750645.5955185973
0.8,baseline,365559.688907,366703.9889444873,732263.6778514873
0.8,penalised,346380.02546239516,348121.8008075618,694501.826269957
0.8,opportunistic,376470.47096614173,377550.0944999988,754020.5654661405
0.9,baseline,365559.688907,366703.9889444873,732263.6778514873
0.9,penalised,345745.5243314416,347542.96392324707,693288.4882546887
0.9,opportunistic,378246.78283059667,379314.31162242615,757561.0944530228
1.0,baseline,365559.688907,366703.9889444873,732263.6778514873
1.0,penalised,345108.6777953486,346905.8914430545,692014.5692384031
1.0,opportunistic,380153.8373560417,381189.34232569457,761343.1796817363
